中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,16 ms,928 Mbps,118784 kB/s,118784.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,15 ms,724 Mbps,92774 kB/s,92774.0
43.153.103.203,443,43.153.103.203,US,Los Angeles,中转,25 ms,615 Mbps,78745 kB/s,78745.0
34.82.76.253,443,34.105.52.138,US,Seattle,隧道,36 ms,604 Mbps,77414 kB/s,77414.0
35.197.23.75,443,35.212.226.106,US,Seattle,隧道,37 ms,576 Mbps,73830 kB/s,73830.0
35.230.79.26,443,35.212.226.106,US,Seattle,隧道,41 ms,569 Mbps,72908 kB/s,72908.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,20 ms,504 Mbps,64512 kB/s,64512.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,44 ms,460 Mbps,58880 kB/s,58880.0
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,7 ms,419 Mbps,53657 kB/s,53657.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,61 ms,383 Mbps,49049 kB/s,49049.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,15 ms,326 Mbps,41779 kB/s,41779.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,118 ms,217 Mbps,27852 kB/s,27852.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,150 ms,152 Mbps,19456 kB/s,19456.0
132.145.64.184,443,132.145.64.184,GB,London,中转,125 ms,149 Mbps,19148 kB/s,19148.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,164 ms,124 Mbps,15974 kB/s,15974.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,173 ms,118 Mbps,15155 kB/s,15155.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,119 ms,50 Mbps,6525 kB/s,6525.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,114 ms,50 Mbps,6484 kB/s,6484.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,134 ms,45 Mbps,5883 kB/s,5883.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,161 ms,45 Mbps,5818 kB/s,5818.0
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,219 ms,45 Mbps,5774 kB/s,5774.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,147 ms,45 Mbps,5763 kB/s,5763.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,148 ms,43 Mbps,5584 kB/s,5584.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,162 ms,43 Mbps,5555 kB/s,5555.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,184 ms,41 Mbps,5295 kB/s,5295.0
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,64 ms,39 Mbps,5082 kB/s,5082.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,60 ms,3 Mbps,476 kB/s,476.0
