中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,722 Mbps,92467 kB/s,92467.0
43.153.103.203,443,43.153.103.203,US,Los Angeles,中转,47 ms,561 Mbps,71884 kB/s,71884.0
43.153.80.208,443,43.153.80.208,US,Los Angeles,中转,48 ms,527 Mbps,67481 kB/s,67481.0
35.197.23.75,443,35.212.128.242,US,Seattle,隧道,48 ms,497 Mbps,63692 kB/s,63692.0
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,49 ms,482 Mbps,61747 kB/s,61747.0
34.82.76.253,443,34.105.52.138,US,Seattle,隧道,49 ms,476 Mbps,61030 kB/s,61030.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,43 ms,473 Mbps,60620 kB/s,60620.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,54 ms,386 Mbps,49459 kB/s,49459.0
35.230.79.26,443,35.212.128.242,US,Seattle,隧道,47 ms,379 Mbps,48537 kB/s,48537.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,119 ms,236 Mbps,30310 kB/s,30310.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,68 ms,220 Mbps,28262 kB/s,28262.0
132.145.64.184,443,132.145.64.184,GB,London,中转,107 ms,204 Mbps,26214 kB/s,26214.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,131 ms,168 Mbps,21606 kB/s,21606.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,142 ms,167 Mbps,21401 kB/s,21401.0
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,153 ms,167 Mbps,21401 kB/s,21401.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,118 ms,166 Mbps,21299 kB/s,21299.0
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,201 ms,65 Mbps,8322 kB/s,8322.0
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,27 ms,63 Mbps,8109 kB/s,8109.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,123 ms,51 Mbps,6542 kB/s,6542.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,129 ms,48 Mbps,6144 kB/s,6144.0
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,140 ms,46 Mbps,5943 kB/s,5943.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,149 ms,45 Mbps,5835 kB/s,5835.0
168.138.212.80,443,168.138.212.80,JP,Osaka,中转,143 ms,44 Mbps,5716 kB/s,5716.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,126 ms,43 Mbps,5562 kB/s,5562.0
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,235 ms,42 Mbps,5450 kB/s,5450.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,188 ms,38 Mbps,4866 kB/s,4866.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,174 ms,36 Mbps,4687 kB/s,4687.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,224 ms,29 Mbps,3775 kB/s,3775.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,145 ms,6 Mbps,894 kB/s,894.0
129.159.84.71,443,129.159.84.71,US,Newark,中转,29 ms,4 Mbps,546 kB/s,546.0
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,185 ms,0 Mbps,5 kB/s,5.0
129.146.46.164,443,129.146.46.164,280 Mbps,35942 kB/s,,,,,
